,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,outcome,duration,launchyr,launchmo,avgpledge,category_combo,log_goal,norm_goal,duration2,duration3,norm_duration,predict,SSTO,SSR,blurb,launch,created,loghours,score1,score2,score3,score4,category2,cluster,textScore
0,100004195,STUDIO IN THE SKY - A Documentary Feature Film,Documentary,Film & Video,USD,2014-08-10,65000.0,2014-07-11,6240.57,canceled,43,US,6240.57,6240.57,65000.0,0,30,2014,7,145.12953488372102,Film & Video:Documentary,11.082142548877801,1.1164269954051798,6,-2.6339470316038196,-2.3452832010499103,0.16673110241366298,0.0430326574367543,0.0016574702210384099,"This film is dedicated to an artist killed on 9/11 in a Twin Towers art studio, whose aviation-themed artworks proved darkly prophetic.,",1405108548,1361425505,9.403781428281093,-0.04229199368659741,0.2087399735721993,-0.3369070511376274,-0.0467452906540799,Documentary,2,1.3819355977415193
1,100012079,Chris Eger Band - New Nashville Record!,Music,Music,USD,2014-08-13,12000.0,2014-07-14,13260.0,successful,92,US,13260.0,13260.0,12000.0,1,30,2014,7,144.130434782609,Music:Music,9.39266192877014,0.566641886752665,6,-2.6339470316038196,-2.5661527450680497,0.199697634389412,0.628146372116286,5.99928983733783e-05,"I'm looking to record the second Chris Eger Band album in Nashville, TN with country star (and my personal guitar hero) Eric Heatherly!,",1405370151,1404163498,5.814671844658653,-0.08512918412801243,-0.029955535704932,-0.26144007742864994,-0.07671586181327963,Music,4,0.7611005453935422
2,1000476123,Mama's Meatballs,Food,Food,USD,2014-08-07,100.0,2014-07-08,0.0,failed,0,US,0.0,0.0,100.0,0,30,2014,7,0.0,Food:Food,4.60517018598809,-0.37706877282399,6,-2.6339470316038196,-3.19203214589332,0.16125487077889902,0.0430326574367543,0.00213335645938415,"The best Meatballs on the planet - nuff said!!!,",1404838346,1404824907,1.3172270821028629,-0.049665359913253555,-0.01679531253054068,-0.10154343543097456,0.03328708337566587,Food,3,-2.8808033766091454
3,1002125164,Cause Art Gallery,Art,Art,USD,2014-07-16,4000.0,2014-07-01,0.0,failed,0,US,0.0,0.0,4000.0,0,15,2014,7,0.0,Art:Art,8.29404964010203,0.47877611826893607,3,-17.6339470316038,-2.2565727455471403,0.14752272531983202,0.0430326574367543,0.00359045641424794,"New Art gallery representing artist that help the community and promoting their causes or issues.,",1404170826,1403414738,5.34722392605967,-0.06947116197039814,-0.01693521155875178,-0.23389614335755063,-0.6342213309287247,Art,4,-1.2783049021388968
4,1002312219,Vagabond: The Search for My Homeless Father,Documentary,Film & Video,USD,2014-08-10,5000.0,2014-07-11,131.0,failed,6,US,131.0,131.0,5000.0,0,30,2014,7,21.8333333333333,Film & Video:Documentary,8.51719319141624,-0.329459485464276,6,-2.6339470316038196,-2.68060471244793,0.251356453210509,0.0430326574367543,0.00192837884348487,"A look into relationships between homeless parents and their children, with a sidebar of my journey to find my homeless dad.,",1405093353,1405033264,2.814892951041187,-0.05186134009872419,-0.020208388890482286,-0.22482768804205597,0.03389256339651078,Documentary,2,-2.80456952367771
5,1002720451,Stage one & Stage two Music theatre,Music,Music,USD,2014-08-13,300000.0,2014-07-14,0.0,failed,0,US,0.0,0.0,300000.0,0,30,2014,7,0.0,Music:Music,12.6115377536383,2.33414059864303,6,-2.6339470316038196,-2.14534197800264,0.20074799874764898,0.0430326574367543,4.48249520102276e-05,"Hi, My name is Myke Miller. I am want to buy an abandon theatre in my hometown so that I can turn it into a music/ cinema and grill,",1405363626,1405212084,3.739928968789627,-0.06138676383540073,0.11402153713365341,0.25173553860063724,-0.23826536441907903,Music,2,-2.7816332129121166
6,1003165056,Mason-ry Silicone Koozie,Product Design,Design,USD,2014-08-08,7500.0,2014-07-09,15720.0,successful,660,US,15720.0,15720.0,7500.0,1,30,2014,7,23.818181818181802,Design:Product Design,8.9226582995244,-0.221567025377379,6,-2.6339470316038196,-2.6275973606752796,0.266566848702264,0.628146372116286,0.00349561261614429,"The Mason-ry Silicone koozie is the first premium koozie designed to perfectly fit and accentuate a mason jar's fine curves.,",1404917296,1403192382,6.171998627688127,-0.050973652516134095,-0.017684211151990373,-0.25662514269975506,0.05822367257778789,Product Design,3,-1.9125033396026132
7,1003458038,ONE WORLD - ONE YEAR,Documentary,Film & Video,USD,2014-08-14,68000.0,2014-07-15,507.0,failed,4,US,507.0,507.0,68000.0,0,30,2014,7,126.75,Film & Video:Documentary,11.127262984158198,1.1418618162499599,6,-2.6339470316038196,-2.33938450659454,0.165469978976564,0.0430326574367543,0.0017617464696161398,"What would happen if you leave everything behind and travel the world for an entire year? Let's find out! #oneworldoneyear,",1405400877,1405392863,0.8002561667518884,-0.07247316198622218,-0.1357003204804762,-0.20024995723740951,0.01956190347008939,Documentary,3,-3.457219041754115
8,1005636833,The Nostalgic Restoration of Your Youth,Art,Art,USD,2014-08-10,10000.0,2014-07-11,0.0,failed,0,US,0.0,0.0,10000.0,0,30,2014,7,0.0,Art:Art,9.21034037197618,0.8631606814278578,6,-2.6339470316038196,-2.5899880460679503,0.128413813481309,0.0430326574367543,0.00624563487047093,"Im trying to professionally restore my grandfather's 69 VW Bus. Let's all chill out and cruise, man,",1405106451,1404829817,4.341761487400231,-0.05213895565572183,-0.01442798100395865,-0.2043609724253274,0.060676416519223446,Art,3,-2.9139298028116865
9,100608193,Tactile Turn Mover & Shaker Pens - New Materials,Product Design,Design,USD,2014-08-22,30000.0,2014-07-22,81981.0,successful,829,US,81981.0,81981.0,30000.0,1,31,2014,7,98.891435464415,Design:Product Design,10.308952660644302,0.660424971041199,7,-1.63394703160382,-2.33820597977965,0.21235654375556898,0.628146372116286,2.4141510323632397e-05,"The originals did so well that people asked for new materials! The same great click pens, just refined! Free international shipping!,",1406044821,1404141578,6.270380706798146,-0.07738005959430065,-0.020557281652337434,-0.1982067029445326,-0.03162233229586551,Product Design,4,0.004964102247979214
