"model","Precision","Recall","F1_score"
"Model 1",0.216565164433618,0.393885688967656,0.27947186419365
"Model 2",0.354521467977932,0.65485157288436,0.460006224712107
"Model 3",0.334537097833224,0.451484271156402,0.3843107674901
"Model 4",0.35920666013712,0.649977846699158,0.462703043683962
"Model 5",0.366270430906389,0.655294638901196,0.46989674344718
