"ID","name","category","main_category","currency","deadline","goal","launched","pledged","state","backers","country","usd pledged","usd_pledged_real","usd_goal_real","outcome","duration","launchyr","launchmo","avgpledge","category_combo","log_goal","norm_goal","duration2","duration3","norm_duration","predict","SSTO","SSR"
1014234055,"Drawing pictures of cute animals doing awesome things.","Art","Art","USD","2014-08-14",100,"2014-07-15",10,"failed",2,"US",10,10,100,0,30,2014,7,5,"Art:Art",4.60517018598809,-1.06871123284207,6,-2.63394703160382,-3.19203214589332,0.276993245928852,0.0430326574367543,0.00483721686467535
1016134549,"I want to create the best burger money can buy.","Food","Food","CAD","2014-08-08",1500,"2014-07-09",0,"failed",0,"CA",0,0,1374.13,0,30,2014,7,0,"Food:Food",7.22557608257157,0.483660068406606,6,-2.63394703160382,-2.84946067828811,0.105902015680082,0.0430326574367543,0.0103106004683994
1017343780,"Tuna Knobs, Stick ‘em to your tablet and it’s a controller.","Product Design","Design","EUR","2014-08-08",12500,"2014-07-09",30665,"successful",669,"NL",41720.12,41054.17,16734.95,1,30,2014,7,45.8370702541106,"Design:Product Design",9.72525462589074,0.289063008231221,6,-2.63394703160382,-2.52267216501138,0.234959615325052,0.628146372116286,0.000757156267913679
1018066528,"Corvallis Imagination Music and Art Festival 2014","Music","Music","USD","2014-08-14",2000,"2014-07-10",395,"failed",13,"US",395,395,2000,0,35,2014,7,30.3846153846154,"Music:Music",7.60090245954208,-0.417221028806564,7,2.36605296839618,-2.30673781901993,0.199114747471979,0.0430326574367543,6.93621664117603e-05
1018225437,"A Burger","Food","Food","USD","2014-08-08",20,"2014-07-09",0,"failed",0,"US",0,0,20,0,30,2014,7,0,"Food:Food",2.99573227355399,-0.905723372177531,6,-2.63394703160382,-3.40243752942603,0.215804471106672,0.0430326574367543,6.99118133891998e-05
1018823489,"Popeye's Chicken Recipe Challenge","Food","Food","USD","2014-08-15",500,"2014-07-16",0,"failed",0,"US",0,0,500,0,30,2014,7,0,"Food:Food",6.21460809842219,0.15158582652955,6,-2.63394703160382,-2.98162676236061,0.123355054456174,0.0430326574367543,0.00707080657781386
1019483724,"Healthy Treats","Food","Food","USD","2014-09-03",3000,"2014-07-25",2,"failed",2,"US",2,2,3000,0,40,2014,7,1,"Food:Food",8.00636756765025,0.740127874051035,8,7.36605296839618,-2.01491787058027,0.0950236584785615,0.0430326574367543,0.0126381404236734
101957846,"IceLiners","Product Design","Design","USD","2014-09-09",30000,"2014-07-31",34617,"successful",448,"US",34617,34617,30000,1,40,2014,7,77.2700892857143,"Design:Product Design",10.3089526606443,0.660424971041199,8,7.36605296839618,-1.83195179920512,0.212356543755569,0.628146372116286,2.41415103236324e-05
1019645625,"Record Label (Canceled)","Music","Music","USD","2014-08-22",1e+05,"2014-07-14",0,"canceled",0,"US",0,0,1e+05,0,39,2014,7,0,"Music:Music",11.5129254649702,1.73088781390185,8,6.36605296839618,-1.59267107807408,0.200389041802489,0.0430326574367543,4.9760338911243e-05
1020147040,"Mail Order Gourmet Chocolate Covered Popcorn","Food","Food","USD","2014-08-14",5000,"2014-07-15",0,"failed",0,"US",0,0,5000,0,30,2014,7,0,"Food:Food",8.51719319141624,0.907919569142343,6,-2.63394703160382,-2.68060471244793,0.0889371268695372,0.0430326574367543,0.0140436757785849
1020472964,"Bringing my dream to life","Food","Food","CAD","2014-08-23",25000,"2014-07-09",0,"failed",0,"CA",0,0,23032.98,0,45,2014,7,0,"Food:Food",10.0446823808832,1.4096563427301,9,12.3660529683962,-2.11474155222231,0.0746950331272904,0.0430326574367543,0.0176220605845705
